Subject,sex,mstatus,age,occupation,educyrs,distwork,workyrs,annualinc,famsize,ressize
163,1,2,53,3,16,13,21,35,3,34
170,1,2,43,3,16,11,14,42,3,33
178,1,2,48,3,14,35,20,20,3,20
185,1,2,56,3,14,29,26,30,2,20
186,2,1,32,3,12,12,6,14,1,6
201,1,1,20,3,12,31,2,10,1,5
202,1,2,47,3,16,27,20,31,4,20
204,1,2,22,3,12,10,3,12,2,6
211,1,2,20,3,12,10,2,11,2,4
213,1,2,29,3,12,31,6,27,3,28
218,1,2,34,3,16,30,4,42,4,29
224,1,2,49,3,16,9,19,37,2,33
226,1,2,50,3,12,17,29,24,3,30
230,1,1,21,3,12,8,3,14,1,4
231,1,2,54,3,16,10,16,36,3,35
233,2,1,32,3,16,25,8,21,1,14
236,1,2,44,3,12,20,21,30,3,33
240,1,2,24,3,12,7,1,17,3,20
241,1,2,46,3,16,10,16,37,3,23
243,1,2,33,3,16,24,6,45,4,39
248,1,2,21,3,12,22,3,10,2,4
253,1,2,35,3,12,34,14,22,3,15
261,1,2,36,3,16,6,5,40,4,38
267,2,1,25,3,14,10,3,19,1,8
268,2,3,34,3,12,16,7,19,2,12
271,1,2,45,3,16,32,24,41,4,33
273,1,2,44,3,12,19,21,31,3,31
278,1,2,41,3,16,16,20,30,4,24
283,1,1,18,3,12,17,1,10,1,7
284,2,3,46,3,12,9,21,15,3,16
289,1,1,20,3,14,8,3,10,1,6
295,1,2,45,3,16,20,16,52,3,35
298,1,2,30,3,16,11,5,45,5,39
308,1,2,37,3,16,25,14,45,5,20
309,1,2,20,3,12,26,3,13,3,12
310,1,2,36,3,16,12,10,45,5,38
311,1,2,32,3,12,10,7,30,5,25
314,1,2,25,3,14,10,3,15,3,16
317,2,3,18,3,12,9,1,16,1,6
322,2,1,47,3,16,14,20,14,4,17
326,1,2,32,3,16,13,6,45,5,34
